,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,xpGroup
1,0,0,0.0,0,1,0,110,0,7,0,7.0,0,0,0,700,0.0,0,16,1
2,0,66,1.03125,0,9,0,110,0,32,16,32.0,0,1,0,48300,0.0,0,64,2
3,3,2,0.4,0,1,0,0,0,3,0,3.0,0,0,0,1150,0.0,0,5,1
4,0,2,0.2,0,1,0,110,0,5,1,5.0,0,0,0,1000,0.0,0,10,1
5,684,27011,1.06674302,18,177,10,110,98332,1366,5113,2.323129252,588,6063,305319,3932335,255.6720351,403651,25321,3
6,4,162,0.6328125,4,6,2,0,568,8,35,2.0,4,68,4836,24485,265.5,5404,256,1
7,186,1898,0.569627851,13,37,7,2,5111,550,485,3.666666667,150,488,39978,458269,180.3796364,45089,3332,3
8,26,349,0.444020356,7,12,4,0,996,44,40,2.933333333,15,138,4844,72765,253.6772727,5840,786,2
10,0,26,0.337662338,0,6,0,110,0,37,3,37.0,0,4,0,25108,0.0,0,77,1
11,188,1949,1.495778972,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.63031785,13844,1303,3
12,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,1,1
13,15,132,0.631578947,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571,3702,209,1
14,207,3452,0.697796644,10,40,9,110,16134,378,535,2.930232558,129,811,104881,530615,266.0142857,121015,4947,3
15,106,3284,0.946125036,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447059,61487,3471,3
16,190,3033,1.00999001,13,37,8,110,9846,421,489,2.520958084,167,583,42460,458078,152.7306413,52306,3003,3
17,605,7764,0.85328058,14,63,8,111,32602,1153,1549,2.638443936,437,1106,125227,1050069,281.4359063,157829,9099,3
19,35,900,0.939457203,12,19,5,6,3078,71,197,2.290322581,31,149,10257,149095,300.0169014,13335,958,2
20,51,603,0.694700461,11,12,5,0,2483,92,102,2.628571429,35,94,9874,66675,197.3217391,12357,868,2
21,0,49,0.510416667,0,8,0,110,0,31,7,31.0,0,38,0,38501,0.0,0,96,2
22,42,1233,0.939786585,9,24,7,39,2711,78,296,2.4375,32,197,7274,211625,306.6769231,9985,1312,2
23,0,1,0.333333333,0,2,0,0,0,2,0,2.0,0,0,0,3975,0.0,0,3,1
24,59,1041,0.714972527,8,20,5,0,4335,99,169,2.911764706,34,281,18216,158915,250.2909091,22551,1456,2
25,81,2041,1.145985401,14,29,9,21,7265,169,324,2.011904762,84,481,28320,301903,266.3857988,35585,1781,2
26,0,4,0.210526316,0,1,0,0,0,8,0,8.0,0,0,0,2575,0.0,0,19,1
27,7,118,0.983333333,6,4,6,0,314,21,19,1.5,14,9,1311,13255,237.1142857,1625,120,1
28,7,16,0.64,4,3,0,0,17,10,3,10.0,0,1,120,9425,23.34,137,25,1
30,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,100,0.0,0,3,1
31,21,363,0.730382294,9,11,4,5,767,33,65,3.666666667,9,49,6360,58550,327.9090909,7127,497,2
32,80,1213,0.647278549,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.6634146,27138,1874,2
33,152,4753,1.024574262,11,44,6,7,21934,320,661,2.302158273,139,948,95160,632675,330.991875,117094,4639,3
34,20,1848,0.709132771,8,74,3,110,1126,840,247,49.41176471,17,255,4332,1166785,11.53642857,5458,2606,3
35,1,6,0.428571429,1,1,0,0,29,1,1,1.0,0,1,96,625,226.2,125,14,1
36,642,10577,0.851267606,14,144,13,14,36028,1182,1585,3.716981132,318,2187,147179,2557627,172.8086294,183207,12425,3
38,3,9,0.346153846,2,1,0,0,35,4,4,4.0,0,8,225,1575,338.55,260,26,1
39,57,2155,0.906986532,10,31,7,2,8138,131,489,2.147540984,61,915,53259,325420,226.9053435,61397,2376,2
40,0,121,1.21,0,18,1,32,0,47,20,47.0,0,0,0,136800,0.0,0,100,2
41,23,414,0.544736842,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.4487805,6199,760,2
42,536,1081,0.61038961,9,42,4,3,2412,585,136,22.5,26,227,13905,586700,24.69846154,16317,1771,3
43,127,3423,1.06701995,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.70549898,39696,3208,3
44,244,7783,0.903529139,22,105,8,111,23349,837,1490,4.702247191,178,1655,90714,1616838,123.6236559,114063,8614,3
45,74,880,0.888888889,8,35,5,110,1549,232,121,13.64705882,17,168,14118,414294,42.00775862,15667,990,2
48,51,2886,1.02087018,15,38,6,100,5588,109,384,2.056603774,53,588,25751,481328,223.4752294,31339,2827,3
49,17,596,0.819807428,13,15,6,0,1996,39,96,2.052631579,19,152,8578,96234,259.6153846,10574,727,2
50,40,195,0.571847507,6,12,4,44,796,51,34,5.1,10,44,3672,69095,111.2941176,4468,341,2
51,24,220,0.745762712,5,14,4,9,710,53,50,6.625,8,33,2968,90214,75.0,3678,295,2
52,136,4987,1.097249725,16,44,6,46,18548,301,1027,2.197080292,137,1189,69686,638080,323.5495017,88234,4545,3
53,108,2837,0.932303648,10,80,8,111,8535,659,485,9.835820896,67,598,31407,1248840,50.47010622,39942,3043,3
54,150,3874,0.936201063,12,42,7,27,15214,294,761,2.244274809,131,870,59960,563625,236.3183673,75174,4138,3
55,0,30,0.352941176,0,6,0,0,0,40,7,40.0,0,0,0,25500,0.0,0,85,1
56,1,28,0.875,6,1,2,0,105,3,9,1.5,2,2,602,3050,319.8,707,32,1
57,101,2750,0.745257453,10,38,8,110,10051,258,528,2.031496063,127,809,43844,481785,267.8790698,53895,3690,3
58,0,24,0.269662921,0,5,0,110,0,44,6,44.0,0,7,0,19625,0.0,0,89,1
59,504,12870,1.263995286,20,141,28,26,21774,1245,2569,1.954474097,637,1506,62751,2470760,295.4674699,84525,10182,3
63,0,2,0.2,0,1,0,0,0,5,0,5.0,0,0,0,955,0.0,0,10,1
65,225,7244,0.899205561,12,128,6,111,22968,996,1065,3.744360902,266,1871,93118,2118714,143.0692771,116086,8056,3
66,2,3,0.166666667,2,1,0,0,15,3,0,3.0,0,0,161,700,68.6,176,18,1
67,1,25,0.373134328,2,4,1,110,56,24,3,24.0,1,6,344,16025,29.375,400,67,1
68,35,656,0.669387755,6,42,5,110,1358,286,143,17.875,16,91,5593,566898,30.98601399,6951,980,3
69,251,5540,0.949443016,14,54,10,110,18655,581,1002,3.041884817,191,1363,85552,952848,187.7917384,104207,5835,3
70,0,74,0.305785124,0,12,0,110,0,104,18,104.0,0,84,0,72000,0.0,0,242,2
71,115,2047,1.1315644,25,111,3,111,228,901,561,128.7142857,7,93,883,1727785,4.321198668,1111,1809,3
72,0,54,0.84375,0,8,0,110,0,32,13,32.0,0,30,0,40925,0.0,0,64,2
73,230,3200,0.940346753,12,40,18,61,12185,499,565,2.053497942,243,662,40768,524931,168.0637275,52953,3403,3
74,283,5604,1.048652695,13,70,10,111,8397,751,687,3.54245283,212,379,38636,1124008,190.2687084,47033,5344,3
75,2,37,0.672727273,4,3,1,0,103,13,9,6.5,2,3,591,9805,101.4461538,694,55,1
76,34,1134,1.016129032,9,22,6,3,4485,72,197,2.482758621,29,313,18171,179015,258.8666667,22656,1116,2
78,70,1766,0.927034121,15,26,5,13,6090,123,360,3.324324324,37,290,23058,243695,272.9512195,29148,1905,2
